price,room_type,number_of_reviews,reviews_per_month,city
35.0,Private room,6,0.77,Barcelona
202.0,Entire home/apt,2,0.62,Barcelona
20.0,Private room,3,0.93,Barcelona
43.0,Private room,42,0.95,Barcelona
60.0,Entire home/apt,21,1.54,Barcelona
35.0,Private room,15,0.48,Barcelona
45.0,Private room,7,0.37,Barcelona
50.0,Private room,0,,Barcelona
40.0,Private room,21,3.33,Barcelona
70.0,Entire home/apt,133,2.98,Barcelona
120.0,Entire home/apt,9,1.94,Barcelona
45.0,Private room,3,0.15,Barcelona
59.0,Entire home/apt,64,4.29,Barcelona
290.0,Entire home/apt,0,,Barcelona
27.0,Private room,24,0.76,Barcelona
39.0,Entire home/apt,24,2.06,Barcelona
55.0,Entire home/apt,0,,Barcelona
45.0,Private room,16,0.48,Barcelona
36.0,Private room,197,5.14,Barcelona
48.0,Private room,85,2.61,Barcelona
50.0,Private room,18,1.86,Barcelona
95.0,Entire home/apt,6,0.75,Barcelona
80.0,Entire home/apt,16,0.35,Barcelona
33.0,Private room,59,4.33,Barcelona
100.0,Entire home/apt,1,0.08,Barcelona
45.0,Private room,1,0.03,Barcelona
69.0,Entire home/apt,117,3.64,Barcelona
40.0,Private room,8,0.42,Barcelona
200.0,Entire home/apt,0,,Barcelona
77.0,Entire home/apt,9,0.2,Barcelona
65.0,Entire home/apt,61,2.47,Barcelona
150.0,Entire home/apt,0,,Barcelona
70.0,Private room,0,,Barcelona
180.0,Entire home/apt,35,1.49,Barcelona
90.0,Entire home/apt,1,0.07,Barcelona
40.0,Private room,6,2.2,Barcelona
105.0,Entire home/apt,35,3.5,Barcelona
125.0,Entire home/apt,8,0.19,Barcelona
41.0,Private room,51,1.08,Barcelona
41.0,Entire home/apt,122,5.45,Barcelona
30.0,Private room,2,0.1,Barcelona
20.0,Private room,10,0.5,Barcelona
211.0,Entire home/apt,7,0.67,Barcelona
105.0,Entire home/apt,9,0.39,Barcelona
300.0,Entire home/apt,2,0.12,Barcelona
19.0,Private room,57,4.23,Barcelona
104.0,Entire home/apt,0,,Barcelona
38.0,Private room,1,1.0,Barcelona
40.0,Private room,7,1.26,Barcelona
32.0,Private room,40,3.27,Barcelona
89.0,Private room,0,,Barcelona
120.0,Entire home/apt,1,0.16,Barcelona
270.0,Entire home/apt,20,2.45,Barcelona
34.0,Private room,45,1.76,Barcelona
40.0,Private room,9,1.02,Barcelona
55.0,Private room,12,1.34,Barcelona
45.0,Private room,0,,Barcelona
40.0,Private room,47,3.71,Barcelona
23.0,Private room,32,1.46,Barcelona
50.0,Private room,2,0.32,Barcelona
35.0,Private room,62,3.22,Barcelona
89.0,Entire home/apt,41,1.66,Barcelona
90.0,Private room,97,4.08,Barcelona
92.0,Entire home/apt,35,0.83,Barcelona
127.0,Entire home/apt,99,2.09,Barcelona
165.0,Entire home/apt,14,1.17,Barcelona
35.0,Private room,2,2.0,Barcelona
42.0,Private room,6,1.86,Barcelona
65.0,Entire home/apt,50,3.63,Barcelona
65.0,Entire home/apt,9,0.53,Barcelona
33.0,Private room,150,3.45,Barcelona
30.0,Private room,0,,Barcelona
79.0,Private room,49,1.97,Barcelona
149.0,Entire home/apt,0,,Barcelona
149.0,Entire home/apt,26,1.18,Barcelona
150.0,Entire home/apt,97,3.05,Barcelona
25.0,Private room,1,0.06,Barcelona
99.0,Entire home/apt,102,2.08,Barcelona
70.0,Private room,27,1.16,Barcelona
130.0,Private room,0,,Barcelona
20.0,Private room,4,0.31,Barcelona
25.0,Private room,13,7.8,Barcelona
30.0,Private room,40,1.98,Barcelona
59.0,Entire home/apt,78,3.06,Barcelona
105.0,Entire home/apt,4,2.86,Barcelona
40.0,Private room,10,1.06,Barcelona
75.0,Private room,0,,Barcelona
45.0,Private room,31,0.91,Barcelona
50.0,Private room,3,0.37,Barcelona
110.0,Entire home/apt,62,1.76,Barcelona
85.0,Entire home/apt,20,0.56,Barcelona
32.0,Shared room,8,0.67,Barcelona
136.0,Entire home/apt,0,,Barcelona
40.0,Private room,2,2.0,Barcelona
50.0,Private room,7,0.21,Barcelona
120.0,Entire home/apt,3,0.19,Barcelona
60.0,Private room,0,,Barcelona
25.0,Private room,38,4.35,Barcelona
30.0,Private room,1,0.13,Barcelona
75.0,Entire home/apt,2,0.17,Barcelona
105.0,Entire home/apt,2,2.0,Barcelona
