price,room_type,number_of_reviews,reviews_per_month,city
84,Private room,72,1.03,Melbourne
84,Private room,59,0.86,Melbourne
75,Private room,64,0.93,Melbourne
84,Private room,13,0.23,Melbourne
47,Private room,84,1.21,Melbourne
343,Entire home/apt,81,1.18,Melbourne
170,Entire home/apt,169,2.43,Melbourne
140,Entire home/apt,191,2.72,Melbourne
195,Entire home/apt,12,0.18,Melbourne
190,Entire home/apt,124,1.76,Melbourne
119,Entire home/apt,149,2.43,Melbourne
75,Entire home/apt,71,1.01,Melbourne
145,Entire home/apt,193,2.77,Melbourne
190,Entire home/apt,38,0.55,Melbourne
180,Entire home/apt,108,1.75,Melbourne
174,Entire home/apt,4,0.09,Melbourne
174,Entire home/apt,7,0.15,Melbourne
109,Entire home/apt,29,0.44,Melbourne
84,Private room,16,0.54,Melbourne
161,Entire home/apt,62,1.19,Melbourne
145,Entire home/apt,253,3.6,Melbourne
90,Private room,137,1.96,Melbourne
75,Private room,52,0.75,Melbourne
100,Entire home/apt,103,1.5,Melbourne
83,Entire home/apt,109,1.71,Melbourne
180,Entire home/apt,11,0.16,Melbourne
270,Entire home/apt,63,0.92,Melbourne
69,Private room,50,0.99,Melbourne
190,Entire home/apt,21,0.3,Melbourne
75,Entire home/apt,33,0.47,Melbourne
169,Entire home/apt,82,1.17,Melbourne
165,Entire home/apt,65,0.94,Melbourne
174,Entire home/apt,9,0.13,Melbourne
46,Private room,82,1.28,Melbourne
55,Private room,38,0.55,Melbourne
1024,Entire home/apt,0,,Melbourne
84,Entire home/apt,42,0.66,Melbourne
109,Entire home/apt,24,0.39,Melbourne
190,Entire home/apt,14,0.22,Melbourne
54,Private room,12,0.21,Melbourne
109,Private room,102,1.49,Melbourne
64,Private room,191,2.89,Melbourne
109,Private room,16,0.25,Melbourne
152,Entire home/apt,53,0.78,Melbourne
105,Entire home/apt,13,0.19,Melbourne
1250,Private room,17,0.28,Melbourne
100,Entire home/apt,538,7.76,Melbourne
145,Entire home/apt,138,1.98,Melbourne
42,Private room,5,0.08,Melbourne
251,Entire home/apt,73,1.09,Melbourne
46,Private room,81,1.29,Melbourne
170,Entire home/apt,100,1.48,Melbourne
100,Entire home/apt,1,0.09,Melbourne
84,Private room,42,0.67,Melbourne
230,Entire home/apt,6,0.1,Melbourne
87,Private room,325,5.02,Melbourne
136,Entire home/apt,0,,Melbourne
217,Entire home/apt,8,0.12,Melbourne
75,Private room,38,0.71,Melbourne
109,Entire home/apt,53,0.82,Melbourne
199,Entire home/apt,0,,Melbourne
75,Private room,0,,Melbourne
84,Entire home/apt,41,0.67,Melbourne
109,Entire home/apt,17,0.26,Melbourne
46,Private room,83,1.32,Melbourne
75,Private room,8,0.15,Melbourne
75,Entire home/apt,30,0.46,Melbourne
195,Entire home/apt,1,0.79,Melbourne
251,Entire home/apt,48,0.72,Melbourne
68,Private room,55,0.81,Melbourne
96,Entire home/apt,173,2.57,Melbourne
40,Private room,27,0.4,Melbourne
299,Entire home/apt,2,0.09,Melbourne
62,Private room,82,1.2,Melbourne
36,Private room,37,0.82,Melbourne
198,Entire home/apt,14,0.23,Melbourne
40,Private room,22,0.62,Melbourne
289,Entire home/apt,0,,Melbourne
289,Entire home/apt,15,0.24,Melbourne
251,Entire home/apt,105,1.56,Melbourne
130,Entire home/apt,362,5.38,Melbourne
90,Entire home/apt,85,1.28,Melbourne
299,Entire home/apt,2,0.06,Melbourne
90,Entire home/apt,7,0.15,Melbourne
216,Entire home/apt,2,0.06,Melbourne
125,Private room,71,1.04,Melbourne
235,Entire home/apt,0,,Melbourne
80,Entire home/apt,49,0.74,Melbourne
125,Entire home/apt,294,4.49,Melbourne
89,Private room,193,2.87,Melbourne
500,Entire home/apt,14,0.22,Melbourne
80,Entire home/apt,7,0.1,Melbourne
71,Private room,29,0.45,Melbourne
66,Private room,237,4.04,Melbourne
251,Entire home/apt,75,1.14,Melbourne
195,Entire home/apt,1,0.03,Melbourne
170,Entire home/apt,20,0.64,Melbourne
100,Entire home/apt,10,0.15,Melbourne
174,Entire home/apt,6,0.09,Melbourne
350,Entire home/apt,0,,Melbourne
96,Entire home/apt,22,0.36,Melbourne
114,Entire home/apt,45,0.74,Melbourne
400,Entire home/apt,76,1.16,Melbourne
65,Private room,104,1.59,Melbourne
419,Entire home/apt,85,1.86,Melbourne
190,Entire home/apt,15,0.23,Melbourne
140,Entire home/apt,43,1.25,Melbourne
444,Entire home/apt,2,0.04,Melbourne
995,Entire home/apt,0,,Melbourne
195,Entire home/apt,148,2.26,Melbourne
50,Private room,23,0.58,Melbourne
109,Entire home/apt,83,1.26,Melbourne
224,Entire home/apt,43,0.66,Melbourne
170,Entire home/apt,82,1.24,Melbourne
150,Entire home/apt,3,0.08,Melbourne
190,Entire home/apt,9,0.21,Melbourne
138,Entire home/apt,94,1.43,Melbourne
147,Entire home/apt,2,0.05,Melbourne
233,Entire home/apt,12,0.18,Melbourne
89,Entire home/apt,15,0.47,Melbourne
251,Entire home/apt,17,0.33,Melbourne
107,Private room,0,,Melbourne
86,Entire home/apt,32,0.49,Melbourne
199,Private room,210,3.18,Melbourne
132,Entire home/apt,40,0.69,Melbourne
100,Private room,9,0.16,Melbourne
109,Entire home/apt,53,0.8,Melbourne
80,Private room,16,0.24,Melbourne
195,Entire home/apt,98,1.49,Melbourne
90,Private room,42,1.08,Melbourne
174,Entire home/apt,9,0.2,Melbourne
174,Entire home/apt,73,1.13,Melbourne
140,Entire home/apt,8,0.28,Melbourne
46,Private room,22,0.47,Melbourne
186,Entire home/apt,8,0.16,Melbourne
78,Private room,17,0.47,Melbourne
100,Private room,9,0.29,Melbourne
105,Entire home/apt,114,1.75,Melbourne
39,Private room,11,0.17,Melbourne
84,Private room,1,0.08,Melbourne
60,Private room,24,0.42,Melbourne
190,Entire home/apt,48,0.73,Melbourne
60,Entire home/apt,206,3.16,Melbourne
109,Entire home/apt,72,1.1,Melbourne
39,Private room,48,0.75,Melbourne
199,Entire home/apt,32,0.93,Melbourne
120,Private room,60,0.93,Melbourne
169,Entire home/apt,55,0.84,Melbourne
55,Private room,93,1.43,Melbourne
60,Private room,5,0.1,Melbourne
79,Private room,2,0.1,Melbourne
75,Private room,41,0.65,Melbourne
199,Entire home/apt,5,0.11,Melbourne
180,Entire home/apt,16,0.25,Melbourne
115,Entire home/apt,46,0.72,Melbourne
165,Entire home/apt,26,0.5,Melbourne
180,Entire home/apt,38,0.64,Melbourne
195,Entire home/apt,55,1.01,Melbourne
68,Entire home/apt,110,1.76,Melbourne
180,Entire home/apt,9,0.26,Melbourne
168,Entire home/apt,195,3.02,Melbourne
750,Entire home/apt,14,0.53,Melbourne
