price,room_type,number_of_reviews,reviews_per_month,city
300,Entire home/apt,8,0.11,Sydney
199,Entire home/apt,26,0.36,Sydney
138,Entire home/apt,35,0.51,Sydney
150,Entire home/apt,3,0.04,Sydney
195,Entire home/apt,0,,Sydney
100,Private room,18,0.25,Sydney
68,Private room,39,0.54,Sydney
329,Entire home/apt,21,0.33,Sydney
345,Entire home/apt,9,0.16,Sydney
55,Private room,101,4.29,Sydney
186,Entire home/apt,4,0.06,Sydney
651,Entire home/apt,3,0.05,Sydney
199,Entire home/apt,3,0.06,Sydney
415,Entire home/apt,19,0.3,Sydney
180,Entire home/apt,3,0.06,Sydney
96,Private room,0,,Sydney
71,Private room,4,0.07,Sydney
280,Entire home/apt,96,1.6,Sydney
71,Entire home/apt,2,0.04,Sydney
320,Entire home/apt,4,0.06,Sydney
91,Entire home/apt,96,1.33,Sydney
350,Entire home/apt,3,0.13,Sydney
140,Private room,0,,Sydney
249,Entire home/apt,6,0.1,Sydney
65,Private room,310,4.27,Sydney
251,Entire home/apt,1,0.02,Sydney
98,Entire home/apt,44,0.61,Sydney
40,Private room,3,0.05,Sydney
150,Entire home/apt,0,,Sydney
105,Entire home/apt,2,0.06,Sydney
120,Entire home/apt,45,0.62,Sydney
385,Entire home/apt,1,0.09,Sydney
174,Entire home/apt,16,0.45,Sydney
186,Entire home/apt,62,0.86,Sydney
169,Entire home/apt,130,1.85,Sydney
55,Private room,50,0.8,Sydney
220,Entire home/apt,4,0.07,Sydney
500,Entire home/apt,43,1.43,Sydney
676,Entire home/apt,50,1.5,Sydney
48,Private room,5,0.12,Sydney
150,Entire home/apt,1,0.02,Sydney
198,Entire home/apt,99,1.37,Sydney
163,Entire home/apt,26,0.52,Sydney
96,Entire home/apt,385,5.33,Sydney
496,Entire home/apt,143,1.98,Sydney
109,Private room,12,0.17,Sydney
76,Entire home/apt,2,0.03,Sydney
145,Entire home/apt,197,2.97,Sydney
253,Entire home/apt,3,0.04,Sydney
152,Entire home/apt,13,0.18,Sydney
500,Entire home/apt,0,,Sydney
60,Private room,71,0.99,Sydney
251,Entire home/apt,14,0.2,Sydney
84,Entire home/apt,64,0.9,Sydney
79,Private room,61,0.87,Sydney
84,Private room,85,1.19,Sydney
90,Private room,22,0.36,Sydney
136,Entire home/apt,149,2.22,Sydney
999,Entire home/apt,0,,Sydney
150,Entire home/apt,124,2.24,Sydney
60,Private room,89,1.8,Sydney
118,Entire home/apt,101,1.42,Sydney
145,Entire home/apt,49,0.68,Sydney
125,Private room,230,3.25,Sydney
299,Entire home/apt,5,0.07,Sydney
299,Entire home/apt,138,1.93,Sydney
140,Entire home/apt,50,0.83,Sydney
80,Private room,69,1.05,Sydney
186,Entire home/apt,57,0.89,Sydney
150,Entire home/apt,2,0.03,Sydney
80,Private room,59,1.2,Sydney
150,Entire home/apt,12,0.2,Sydney
40,Private room,138,1.95,Sydney
65,Private room,11,0.16,Sydney
100,Entire home/apt,355,5.37,Sydney
115,Entire home/apt,34,0.6,Sydney
96,Private room,94,1.33,Sydney
89,Private room,20,0.32,Sydney
220,Entire home/apt,9,0.15,Sydney
84,Private room,71,1.0,Sydney
84,Private room,122,1.71,Sydney
65,Private room,71,1.02,Sydney
51,Private room,36,0.51,Sydney
73,Private room,54,0.77,Sydney
120,Private room,26,0.38,Sydney
350,Entire home/apt,6,0.28,Sydney
151,Entire home/apt,63,0.94,Sydney
999,Entire home/apt,36,0.52,Sydney
79,Entire home/apt,34,0.57,Sydney
109,Entire home/apt,1,0.06,Sydney
270,Entire home/apt,13,0.26,Sydney
295,Entire home/apt,0,,Sydney
172,Entire home/apt,36,0.51,Sydney
115,Entire home/apt,475,6.68,Sydney
400,Entire home/apt,0,,Sydney
220,Entire home/apt,62,1.06,Sydney
295,Entire home/apt,42,0.73,Sydney
65,Private room,145,2.04,Sydney
249,Private room,2,0.04,Sydney
125,Private room,166,2.37,Sydney
115,Entire home/apt,119,1.7,Sydney
226,Entire home/apt,5,0.1,Sydney
177,Entire home/apt,18,0.26,Sydney
60,Private room,3,0.04,Sydney
750,Entire home/apt,26,0.39,Sydney
230,Entire home/apt,1,0.02,Sydney
150,Entire home/apt,31,0.45,Sydney
300,Entire home/apt,4,0.06,Sydney
590,Entire home/apt,6,0.09,Sydney
150,Entire home/apt,4,0.09,Sydney
100,Entire home/apt,6,0.09,Sydney
299,Entire home/apt,80,1.18,Sydney
111,Private room,2,0.03,Sydney
205,Entire home/apt,64,0.92,Sydney
161,Entire home/apt,1,0.03,Sydney
180,Entire home/apt,23,0.49,Sydney
140,Entire home/apt,24,0.49,Sydney
119,Entire home/apt,56,0.91,Sydney
140,Private room,51,0.74,Sydney
40,Private room,16,0.3,Sydney
145,Entire home/apt,67,0.97,Sydney
190,Entire home/apt,69,0.98,Sydney
190,Entire home/apt,18,0.26,Sydney
150,Entire home/apt,313,4.73,Sydney
251,Entire home/apt,0,,Sydney
75,Private room,29,0.48,Sydney
75,Private room,37,0.53,Sydney
75,Private room,74,1.06,Sydney
199,Entire home/apt,2,0.05,Sydney
188,Entire home/apt,12,0.17,Sydney
109,Entire home/apt,9,0.15,Sydney
395,Entire home/apt,5,0.07,Sydney
84,Private room,353,5.04,Sydney
150,Entire home/apt,6,0.09,Sydney
84,Entire home/apt,77,1.11,Sydney
90,Entire home/apt,3,3.0,Sydney
199,Entire home/apt,5,0.21,Sydney
150,Private room,0,,Sydney
125,Private room,5,0.08,Sydney
199,Entire home/apt,34,0.49,Sydney
350,Entire home/apt,7,0.1,Sydney
71,Private room,18,0.29,Sydney
71,Private room,1,0.11,Sydney
125,Entire home/apt,8,0.12,Sydney
132,Entire home/apt,11,0.16,Sydney
120,Entire home/apt,3,0.09,Sydney
90,Private room,61,0.88,Sydney
96,Private room,39,0.56,Sydney
69,Private room,116,1.74,Sydney
220,Entire home/apt,2,0.31,Sydney
75,Private room,41,0.61,Sydney
651,Entire home/apt,2,0.06,Sydney
120,Private room,2,0.03,Sydney
145,Entire home/apt,238,3.45,Sydney
96,Private room,0,,Sydney
140,Private room,2,0.03,Sydney
84,Private room,81,1.29,Sydney
140,Entire home/apt,175,2.84,Sydney
64,Private room,8,0.12,Sydney
350,Entire home/apt,31,0.47,Sydney
251,Entire home/apt,0,,Sydney
195,Entire home/apt,3,0.23,Sydney
115,Entire home/apt,117,1.82,Sydney
180,Entire home/apt,18,0.3,Sydney
120,Entire home/apt,63,1.09,Sydney
161,Entire home/apt,13,0.21,Sydney
130,Entire home/apt,0,,Sydney
71,Private room,10,0.16,Sydney
199,Entire home/apt,3,0.05,Sydney
130,Entire home/apt,144,2.11,Sydney
300,Entire home/apt,18,0.28,Sydney
65,Private room,0,,Sydney
238,Entire home/apt,9,0.14,Sydney
400,Entire home/apt,7,0.14,Sydney
71,Private room,50,0.74,Sydney
199,Entire home/apt,10,0.15,Sydney
195,Entire home/apt,7,0.15,Sydney
96,Entire home/apt,45,0.72,Sydney
170,Entire home/apt,48,0.7,Sydney
84,Private room,83,1.36,Sydney
150,Entire home/apt,4,0.08,Sydney
143,Private room,0,,Sydney
65,Private room,80,1.18,Sydney
221,Entire home/apt,1,0.02,Sydney
300,Entire home/apt,18,0.27,Sydney
186,Entire home/apt,1,0.06,Sydney
115,Entire home/apt,38,0.63,Sydney
220,Entire home/apt,44,0.74,Sydney
120,Entire home/apt,7,0.12,Sydney
125,Private room,46,0.69,Sydney
195,Entire home/apt,18,0.27,Sydney
73,Private room,35,0.53,Sydney
80,Private room,43,0.82,Sydney
80,Entire home/apt,65,1.0,Sydney
500,Entire home/apt,2,0.03,Sydney
220,Entire home/apt,1,0.01,Sydney
140,Entire home/apt,32,0.47,Sydney
595,Entire home/apt,5,0.09,Sydney
120,Entire home/apt,9,0.14,Sydney
190,Entire home/apt,8,0.12,Sydney
170,Entire home/apt,28,0.97,Sydney
212,Entire home/apt,31,0.59,Sydney
170,Entire home/apt,157,2.31,Sydney
145,Entire home/apt,11,0.26,Sydney
150,Entire home/apt,94,1.68,Sydney
96,Entire home/apt,135,2.15,Sydney
127,Private room,17,0.36,Sydney
415,Entire home/apt,9,0.15,Sydney
65,Private room,17,0.46,Sydney
96,Entire home/apt,12,0.72,Sydney
125,Entire home/apt,3,0.05,Sydney
80,Private room,14,0.29,Sydney
90,Private room,68,1.01,Sydney
72,Private room,27,0.74,Sydney
100,Private room,1,0.04,Sydney
90,Entire home/apt,10,0.19,Sydney
125,Entire home/apt,15,0.23,Sydney
150,Entire home/apt,111,2.21,Sydney
140,Entire home/apt,30,0.47,Sydney
136,Entire home/apt,0,,Sydney
199,Entire home/apt,11,0.41,Sydney
180,Entire home/apt,5,0.08,Sydney
199,Entire home/apt,113,3.43,Sydney
105,Entire home/apt,7,0.12,Sydney
145,Private room,31,0.74,Sydney
300,Entire home/apt,15,0.71,Sydney
107,Entire home/apt,280,4.14,Sydney
65,Private room,18,0.29,Sydney
599,Entire home/apt,2,0.17,Sydney
460,Entire home/apt,35,0.56,Sydney
179,Entire home/apt,245,3.68,Sydney
75,Private room,16,0.28,Sydney
109,Entire home/apt,212,3.17,Sydney
399,Entire home/apt,9,0.26,Sydney
251,Entire home/apt,39,0.77,Sydney
161,Entire home/apt,37,0.56,Sydney
125,Private room,12,0.19,Sydney
681,Entire home/apt,2,0.04,Sydney
341,Entire home/apt,23,0.45,Sydney
316,Entire home/apt,34,0.57,Sydney
84,Private room,107,1.62,Sydney
161,Entire home/apt,1,0.02,Sydney
145,Entire home/apt,29,0.44,Sydney
119,Private room,95,1.44,Sydney
300,Entire home/apt,99,1.52,Sydney
94,Entire home/apt,31,0.65,Sydney
140,Entire home/apt,29,0.45,Sydney
168,Entire home/apt,2,0.18,Sydney
65,Private room,54,1.55,Sydney
129,Private room,285,4.31,Sydney
285,Entire home/apt,8,0.15,Sydney
352,Entire home/apt,13,0.22,Sydney
298,Entire home/apt,21,0.39,Sydney
352,Entire home/apt,20,0.32,Sydney
352,Entire home/apt,10,0.16,Sydney
172,Entire home/apt,37,0.61,Sydney
119,Entire home/apt,28,0.45,Sydney
130,Entire home/apt,2,0.03,Sydney
350,Entire home/apt,2,0.03,Sydney
199,Entire home/apt,17,0.58,Sydney
291,Private room,8,0.16,Sydney
199,Entire home/apt,54,0.91,Sydney
133,Entire home/apt,31,0.47,Sydney
599,Entire home/apt,35,0.52,Sydney
150,Entire home/apt,8,0.14,Sydney
97,Private room,6,0.1,Sydney
40,Private room,3,0.08,Sydney
119,Entire home/apt,257,3.84,Sydney
